word,sentiment
玫瑰,+
赞赞,+
鼓掌,+
赞赞,+
好,+
爱心,+
喜欢,+
微笑,+
感谢,+
好看,+
可爱,+
加油,+
哈哈,+
好听,+
漂亮,+
笑,+
美女,+
大笑,+
英雄,+
小姐姐,+
欢迎,+
点赞,+
支持,+
牛,+
朋友,+
平安,+
给力,+
机智,+
爱慕,+
迷人,+
帅,+
努力,+
粉丝,+
唱歌,+
简单,+
羡慕,+
保护,+
白衣天使,+
必须,+
致敬,+
期待,+
优秀,+
容易,+
适合,+
相信,+
成功,+
最好,+
心动,+
结婚,+
太美,+
更好,+
仙女,+
举报,-
小心,-
错,-
心碎,-
分手,-
怀疑,-
害怕,-
大哭,-
绝望,-
差,-
难受,-
对不起,-
垃圾,-
可怕,-
傻子,-
苦,-
偷,-
骂,-
骗人,-
伤害,-
恐怖,-
担心,-
失去,-
生气,-
谣言,-
嫌弃,-
孤独,-
打架,-
混,-
阴险,-
打死,-
报警,-
看不起,-
背叛,-
弱,-
肇事,-
咒骂,-
鄙视,-
小偷,-
惊恐,-
黑粉,-
灾难,-
缺点,-
倒闭,-
噩梦,-
敷衍,-
道歉,-
烂片,-
反思,-
作弊,-
反对,-
家暴,-
